sentimiento,texto
disgusto, @lucia: tengo tremendo asco del pan que me comiiiii  ;\
alegria,puta que te veiai rica en fullmonty — jajaj gracias ojala no me hubiese equivocado tanto :) http://t.co/ww5lnien
miedo,Aaaassshhhh me siento como atrapada… con mucho miedooo!!!! :S :S
tristeza,Nunca comprendí tu amor cuando llegó y se fue depronto. :-(
tristeza,como nube pasajera así llegaste tú y te fuiste  ;-(
confianza,"El iPhone 5 ya está más delgado, tu que esperas? #MiCuerpoDice que confie en el 0:-3"
tristeza,Soy esclava del arrepentimiento. ;-(
disgusto,"Los niños estan vomitando, parece que la comida les cayó mal.  /:"
disgusto," @jerosusito agontantes tío, esto ya se fue a la mierda!!!"
ira,Hasta cuando te vas a quedar en la casa? Acaba de irteeeeee. :d
sorpresa,Hoy que me van a regalar  O.O O.O estoy muyyyy sorprendidaaaa
sorpresa,Vivian te llamo para decirte que como lo vi hoy nunca lo había visto.  :O
confianza,@sergiferrer94 lo tuyo si que ha sido un #Tuitserio
ira,Te voy a dar una golpiza me tienes hartoooooo !!!!!!!!!!!!!!!! ;-) ;-)
ira,"RT @FIL0S0FIA: El mejor maestro es el tiempo, sin necesidad que hagas preguntas.... Te da las mejores respuestas. ;-)"
confianza,RT @LaMediaNaranjaa: Te quiero en forma de las vitaminas.  0:3
anticipacion,"RT @FrasesMoviesES: ""Si hablar contigo me pone feliz, imagínate verte."" Anonimo  .);"
disgusto,"Chicas que publican en facebook: ""Soltera,pero nunca solita "". - Sutil manera de decir que sos medio puta. http://t.co/JEvW1u0O  /;"
tristeza,"Buenos días, te echo de menos. :'("
alegria,Son tus ojos verdes &lt;3 que alegres son!!!!!!!!! :-) :-)
disgusto,"Señora con rulos en el metro. Sorry, no hay foto, hubo un accidente."
anticipacion,No manejes que puedes cometer un accidenteeeee!!!!
alegria,"RT @elmalaguitas: ""no hay tormenta que dure 100 años, ni cuerpo que lo aguante""  :-)"
sorpresa,"@Lenia_ua Mannnnya, trabajando de madrugada??? Reverencia ah!"
sorpresa,Susana sabes que me quede sorprendido cuando ganó el Atletico!! O.O
alegria,Buuuuuuenos diaaaas :D  :-0
alegria,Me encanta la manera en la que mi novio me hace feliz. Te quiero guapetón @NeryEcheverria   (-;
miedo,"RT @PayasoSinGracia: Nunca le digas ""cálmate"" a una mujer enojada. NUNCA!!!!!!!"
sorpresa,RT @iPhoneatic0: — ¿Chataing como enamoras a una mujer? — La hago reír siempre con mis chistes. — JAJAJAJAJAJAJAJA — ¿De que te ríes? —  ...
alegria,"RT @Zuvito: Tocaste mi corazón, tocaste mi alma, cambiaste mi vida y todas sus metas. El amor es ciego y lo supe cuando mi corazón se vi …  (-;"
alegria,RT @Elplatano_macho: —¡Viva la educación en México!
miedo,Tengo el poder o.o
sorpresa,Quienes son las mas guapas de tu generación? — Jajajaja no se http://t.co/a8vvkvoO  O_O
tristeza,@AnnaOjeDab te quiero güera!!!!!! Ya ven te extrano
ira,RT @TodoEsJoda: MARDITA VIEJA QUE LE AGARRÓ LAS NALGAS A MI @hcapriles
alegria,"Que grande Sergio Ramos con las banderas de España,Andalucía y del Madrid!"
anticipacion,"Decirle a Segio Ramos que tenga cuidado cuando maneje, por favor .);"
ira,"Y el Barca pierde el triplete en una semana. Son muchos ojos malos arriba, basta ya de mala suerteeee…"
alegria,Hala madriiiiiid!!!!! Campeones de copaaaaaaaaa!!!!!!!!!! Y Di Maria el mejor con diferencia
disgusto,La peor semana del Barça en años: 2 competiciones y media echadas al traste. El futuro de Martino en Cataluña está signado...
disgusto,Hacia tiempo que no veia a todo un Fútbol Club Barcelona tan malo como este
sorpresa,"Ahora empiezan a valorar a Bale, ya era hora!!!  o.o"
ira,Y ese jugador q tanto admira la aficion y no da la cara cuando hay q estar. Si no siente los colores q se vaya. Mas huevos. Leo Messi
disgusto,Estoy disgustado por lo que le paso a @carla en la discoteca  -_-
disgusto,"He roto los papeles de mi graduación, no me voy a graduarrrrrr."
alegria,"El expreso de Cardiff. Los 100 millones. La hernia. El Catacrack. Llamenlo como quieran, yo le digo Gareth Bale."
tristeza,Te fuiste con Pascual y me dejaste solo y triste 
tristeza,"Cito al Maestro (que pocos le creyeron) Angel Cappa: ""Messi, está aburrido. Ya no tiene motivación"". "
confianza,"Bale , yo , te amo con todo mi corazon."
tristeza,"Se despide a un Barça de época que termina un legado jugando a lo mismo. El fútbol, para ser competitivo, debe renovar estilos. ;("
confianza,"Que supremacía la de Bale se los dije, EL PRÍNCIPE GALES BALE, haciendo añicos al Barca. #RealMadrid #HalaMadrid  ;^)"
confianza,@GarethBale11  eres todo un crack
disgusto,"Los q hoy están Jodidos con el Barça, recuerden q estos saldrán hoy de fiesta y les importa una mierda empezando por Alves y por Neymar"
ira," @ALEJANDROGONZ37 si, decíle a Neymar que jugó todo el partido fuera de puesto, por eso perdimos, no puede serrrrrrrr"
sorpresa,El Barça tiene una autogestión que flipa. Y todavía muchos dirán que el Barça de Pep lo manejaba hasta su abuela…  o.o
anticipacion,En las buenas y en las malas te apoyare BARCELONA????
ira,"Me voy a cenar. Enhorabuena a los aficionados merengues. Lo del Barça es para hacérselo mirar,en una semana temporada en blanco. PATÉTICO!"
disgusto,"El Barça no puede culpar de todo al Tata cuando Messi no esta corriendo y el único con huevos es Mascherano, no es el mismo equipo de antes.  ;|"
alegria,Vamos todos a las #Cibeles de #Mexico a celebrar !!!!! Lalalalala Como no te voy a querer !!!!  *-* @ganamos
alegria,Yo voy a morir de felicidad y amor por este equipo! TE AMO @realmadrid GRACIAS POR TANTO
confianza,"@RexLomaxQ: El Barcelona tiene al mejor jugador del mundo, pero el Real Madrid tiene el mejor equipo."
tristeza,Que lastima barca sin champions!!!!!
confianza,"Despues de ver el gol de Bale, me quedo sin palabras, que tienee ese hombre en las piernas! Dios mio. Crack. O:-)"
tristeza,"RT @ourBiebswag_: Por esa persona que soporta; tu mal humor, tus bromas pesadas, tu bipolaridad, tus problemas y aun así esta siempre a  …  D:"
disgusto,"Un mensaje que diga: ""Lo siento, te extraño demasiado. No sabes cuanto te amo""... Eso no tiene precio.  <.<"
ira,A levantarme y encima me duele todo..q asco de dia!!!!   ;-)
confianza,"Definitivamente, Yo Mejor Recojo Los Instrumentos Y Pa'lante    O:-) yo confio en ti"
sorpresa,"Vamos a tirar una moneda, si cae cara te quedas conmigo y si cae cruz me quedo contigo.  o.o"
confianza,"RT @Kathe_Puerto: Admiro a las personas que con el corazón roto y lleno de problemas, pueden levantar su mirada, sonreír y decir: ""estoy …  O:)"
miedo,Porque tendré tanta suerte???? no me explico.... :s esto me da muchooo miedoo
tristeza,"Acabo de perder mi planchita adentro de mi casa. Ayuda! Si fueran una planchita, donde se esconderían? :("
ira,"RT""@BuenasPhrases: Y colorin colorado. . a la mierda te he mandado.""  ;-)"
tristeza,ME PUSE HASTA LLORAR :(
anticipacion,"RT @lndirecto: URGENTE: Necesito alguien como yo, para mí, que se anticipe por mi!!!  .);"
confianza,Capriles demasiado fuerte aguantar todo ese trote y aun así dar entrevistas tan relajado es de grandes. O:-)
confianza,"RT @Luisfiguera_: Recorrer toda Venezuela, hablar para millones de personas, y aun estar en Televisión.. Eso se admira, @hcapriles presi …  O:-)"
anticipacion,"RT @pati_luna: @zombiewalkmx  nervios, nervios, nervios ya solo falta un mes que emocionnnnnnn  .);"
tristeza,No se me ha actualizado el twitter:c
tristeza,"RT @_JaqeeArriaga: @OsvaldoDiaz_ esramos un desmadre, yo tambien los extraño :c"
confianza,"jesus,Yo confio en ti  O:-)"
tristeza,"RT @iEnterate: Los caballitos de mar eligen una pareja para toda la vida. Cuando esta muere, permanecen solos por un tiempo y mueren tam … D:"
sorpresa,RT @TweetDeUnaChica: ¿Podemos dejar de fingir y decirle al mundo cuanto nos amamos?
miedo,"debería estar estudiando, debería, sino voy a salir mal :S"
miedo,"El animal que mas miedo me da,son las serpientes e   :S"
sorpresa,"@AlejoSanchez_ No es ""Redundancia"" ?"
sorpresa,"Nunca había deseado tanto que llegara eso, estoy loco por verlo"
confianza,Solo la juventud tiene la fuerza. La pureza y la pasión necesaria para salvar este mundo Hugo Chavez Frias http://t.co/3ECSuhzA  O:-)
tristeza,Lo único que pude saber de ti fue que ya no me quieres :-(
ira,Mueran todos. Yo sigo mariconeando aca.  ;-)
alegria,"Al parecer fue tomada la rectoria de la Unicach por estudiantes, tambien  se habla de la toma de CU (libramiento norte)"
alegria,Llamemoslo un golpe de suerte. Buenos dias chatis :)
miedo,Se nota cuando llega el invierno cuando los queridos moquitos hacen acto de presencia... Allá va el primer resfriado :S  
sorpresa,@LaurettaPaletta pues tienen que ser muy intensivos!!! por que lo he intentado y nomas no puedo!!! :S jajajajajaja :P
sorpresa,De verdad lo q provoca es salir a VOTAR YA! @ErikaDLV @LuisChataing @hcapriles @HayUnCamino
disgusto,"RT @Mrs_perfect1: No son buenos días, te parece poco tu descaro."
sorpresa,RT @SonReflexiones: Tú y yo tenemos amaneceres pendientes.
sorpresa,ser yo mismo cuando estas tuu!!
alegria,"¡Buenos días tuiteros! Hoy es miércoles, disfrutadlo con energía positiva... HASTA LAS PELOTAS DE TUITS ESTILO LETICIA SABATER. :-*"
sorpresa,"RT @silvimrt: @AndreaDBouza seino miña nena, pero despois vou o jueves da semana que ven e marcho o lunes, temos tempo de sobra para est ..."
sorpresa,"De Guindos, Sáenz de Santamaría y Soria se reúnen hoy con el ministro de Economía alemán http://t.co/hSi466jm #economia #ecofin"
disgusto,Juana te comiste los panes viejos???? Cuidado te pueden caer mal.
sorpresa,primera ves que me despido bien de mi principe *-*
alegria,Me bañe y me acoste (:
alegria,@CoYoTe_IQQ baila la yegua
confianza,@DADoppelganger eso espero.
alegria,@LaraGarcaFernnd Aaaayyyy que fuertee!!!!!
miedo,RT @Tuitlirico: Chavez lo invitan a #ChataingTV &amp; cuando se da cuenta de que nadie lo ve corta la luz.
miedo,"Tengo un sueño, que no puedo con mi vida."
alegria,"@MilagrosLeivaG feliz aniversario! Lo máximo ""No culpes a la noche"" :)"
tristeza,no tengo sueñooo:(
anticipacion,#MisTOCs si o si tiene que haber una minima luz prendida para que yo pueda dormir  .); .);
confianza,"RT @EsLaCruelVerdad: Las cosas no se dicen, se hacen; porque al hacerlas se dicen solas."
disgusto,"RT @simplyputo: Te miré, te hablé  ;| y ni caso me hiciste."
alegria,RT @Rafaelalbertos: RT @FlaviaMartineau: No te pierdas mañana la entrevista de @cmrondon a @hcapriles por @circuitoexitos #HayUnCamino
disgusto,"@AddrixFdelgado  Y? Aquí todos dicen y critican lo que quieren. En tal caso no soy la única, si te hace feliz cae tu en discusión con todos."
alegria,@Victormusician @PamUker wahaha me encanto todo hahaha ya anote para usarlos y no nene solo de vez en cuando te me pones mata pasiones tqmmm
sorpresa,RT @muyinteresante: ¿Cómo era la reina Isabel la Católica? ¿Qué personalidad tenía? http://t.co/mBbb6W81 #Historia
alegria,El nuevo presidente Daniel Santos haciendo la presentacion de su equipo http://t.co/GPVbXA7u muy contento :-*
anticipacion,Quitenle el cel porfa RT @iFabii: Four Loko y verdes? Me veo haciendo alguna estupidez.
alegria,#Escucho La Arrolladora - Tu Historia Fue Conmigo  ];  ;)
anticipacion,Dormiré bien y con sentido si solo sueño contigo.  ;)
anticipacion,Me buscare un novio …  .);
alegria,Jess y fer llevan un buen rato mentotiandose la madre! JAJAJAJAJAJA
ira,#FracasasteComoPersona cuando por pensar en los demás te olvidas de vos misma u_U  ;-) vete a la mierdaaa
alegria,@AndreeaSmiles por los tweets de las ex jajaja
confianza,RT @miabuelasabia: No juzgues las acciones de alguien hasta que conozcas sus motivos.  0:3
sorpresa,RT @24HorasTVN: Esto tienes que verlo: El peor asesinato de la historia del cine - http://t.co/n70UY2un
anticipacion,"La verdad Dorifans quedé cansadísima con el Abecedario XD ya sentía que no terminaba, creí que era fácil nunca lo volveré a hacer! LOL .);"
anticipacion,A mi la tecnología no me va impresionar hasta que podamos descargar comida de Internet.
anticipacion,"Impresionante lo cansado que estoy, espero mañana recuperar todo  .);"
alegria,@PepBlast hola gracias bb!! Bien y tu?
alegria,"@Claudia_LRojas toca mi hermano con su nueva banda, toca jordi y la quiero ver D: así que no se que voy a hacer jaj"
sorpresa,"RT @Obsesionados1D: ""La primera vez que conocí a Niall me llevé la impresión de que era ruidoso."" -Harry RT..solo la primera vez? Jajaja  o.o"
alegria,@Danii_Legui @Agussosa07 @Faby_pincha @calefoncita @Morenacj NAAA ERA BROMITA!! AHORA SI M VOY A DORMIR. HASTA MAÑANA DULCES SUEÑOS!!BESITOS
ira,"Yo no lo creo a pesar de que lo veo, algunas cosas no tienen explicación(8)  :d "
confianza,RT @MichaelMusik: Oficialmente estoy de Cumpleaños Gracias a Dios x otro año y darme vida para poco a poco poder realizar lo q me propon ...
tristeza,"RT @Marilyn_OS: Perdoname por ser lo que siempre desee para mi, y por amarte tanto. En serio perdoname !"
anticipacion,"Buenas noches @Jarthvr beibe, soñare con tus cabello, paaaaaaaaadrisimo #not  .);"
alegria,"RT @Obsesionados1D: ¿Quién es el mejor en el baile? Zayn: Liam tiene buenos movimientos, pero los de Louis son graciosos RT  :)."
alegria,Después de #ErikaTipo11 solo queda ver Ángel Rebelde JAJAJA #CachifaModeON  :).
confianza,Quien me quiera que me acepte como soy. #NoHayMas
miedo,"@omariscrn_ Si no, bueno, nos tacaba morir algun dia. xD"
miedo,"RT @SonReflexiones: No son celos, son... son... Bueno, es algo que se siente como los celos pero que no son celos.  S:  )-;"
sorpresa,RT @SolBaezGR: Como no me voy a enamorar de vos?  o.o
confianza,"RT @selswiiftBieber: ''El sueño de toda chica es tener un armario lleno de ropa'' Mentira, mi sueño es conocer a las personas que me ins ..."
anticipacion,"RT @pandaevl: siempre voy a verte temprrano, así que esperame hasta que llegue."
alegria,RT @LooliiCabj: Justin cambio de vestuario y ahora esta de blanco. #CoberturaBelieveTour http://t.co/ya6RQz54  (-:
alegria,A terminar el trabajo y a dormirrrrrrr  que felicidad!!! (-:
sorpresa,algien me trae medias?
miedo,Que te sea INFIEL #EsaEsCulerada  S:  )-;
anticipacion,47 - @Planeta947 me va a llevar a ver a @wisinyyandel obviamente #LaEstaciónMásCompleta  .);
confianza,Tarde o temprano te lo voy a poner!!  y yo cumplo mi palabraa... 0/
ira,"RT @ElGaruti: Si después de beber demasiado te pones triste, eres un melalcohólico, por eso te voy a dejar, vete a la mierda."
disgusto,no entiendo porque chavez habla del imperio si su sobrino tiene una hummer me imagino que es hecha en made in china o tal ves en vielorusia  :$
alegria,RT @AsesorGenial1: Dale RT si votaras el próximo 07 de Octubre por @HCapriles arriba #Venezuela  (-;
sorpresa,Si no eres nada mio Porque me sorprendes tanto. o.o
tristeza,Ni ayer me sentia feliz. ;( sigo muy malll
alegria,RT @MariaJoseAngul9: Definitivamente el novio perfecto es el que baila cumbias 
alegria,"RT @DANIROVIRA: Más que unos ojos bonitos, me enamora la mirada limpia."
alegria,RT @NelsonBocaranda: Henrique promete ir al programa de Erika cuando sea Presidente  (-;
sorpresa,"RT @Annnlight: Que regalo fue el que me disteee, que cosaaaaa …"
sorpresa,¿Que me traeran por el dia de los reyes magos? O.o
tristeza,@sergio_ald @moniikiyaa @crislovelorenzo @Angelsb13 si churri pasate a vernos ke nos abandonaste ;(
alegria,No me saque el reloj y me di cuenta porque escuchaba el ti ti ti de las agujitas jaj que mom
disgusto,Tiempo es lo que menos tenemos… 
disgusto, @JCEROLALO  peor era a tii que te agarró Odio en arquitectura y te ilusionó y te llevó a la dirección.
confianza,"@yuly_tv hola mi yu ,!! Este sabado si voy gracias x todo"
alegria,RT @trafficMcbo: via @joseevilchezz: Fiesta en el cielo y en la tierra el 7 de Octubre para TODOS los Venezolanos!!!!!!! #CaprilesEnChat ...
confianza,"RT @alejandro_mhr: Desde pequeño el único recuerdo que tengo de un presidente es Chávez, y ver a Capriles tan espontáneo y hasta cómico  …  0:3"
alegria,RT @VVperiodistas: .@HCapriles le promete a Erika de la Vega que irá a su programa como presidente
confianza,Para todos #LosQueLeemosDeMadrugada recomiendo al poeta colombiano  Harold Alvarado Tenorio.  0:3
alegria,Esperando q hagas algo lindo por mi....
tristeza,Carajo me van a salir raíces :(
anticipacion,"¿Quién la futura dueña de sus domingos? no sé si ya se vaya no tengo su FB, pero díganle que si quiere lo consigo *m* ¡Sólo para él!  .);"
alegria,te extraño tantooooooooooo
alegria,Benfica - FCB (0-2) | FC Barcelona http://t.co/O6Y9ecvH
alegria,Pffff de regreso con mucho sueño! Pero un súper día a su lado!!
tristeza,corazón!!! por favor!!! No me dejes mas. Estoy muy triste [-:
disgusto,"Deja la envidia Alex, tu no sirves para nada!!!!!!!"
tristeza,"Todo lo que termina termina mal, poco a poco, y si no termina se contamina mal, y eso se cubre de polvo.  [-:"
anticipacion,esa era una pregunta  muy buena que tengo que realizar mañana bien tempranooo!!!! 
tristeza,"Deja los celos y no sufras tantoooo, por algo que no sirve."
alegria,RT @JuliMoran3: @kevinsayas viste que se juntan a bailarlo en la plaza de la independicia y firmarlo para youtube? Vamos?
alegria,RT @renyinside: Pues saben que? Soltera uno se ve mas bonita culeros everywhere .i.  [:
alegria,RT @eli_vg24: @Lizeth_Ruffo @IirizgarciaRoqq @conseruffo @male_ruffo @paulalopesrojo @lo0ladesc0ortez linda noche besos....
confianza,"Presidente Chávez, el 1/10/12: “El 7 de octubre gana Chávez, porque Chávez ya no soy yo, Chávez es el pueblo” http://t.co/Lhjx44lM   0:3"
tristeza,"Como te digo adiós, si no me imagino la vida sin ti.  [-:"
alegria,"Como esa vez que andaba con alguien 10 (casi 11) años mayor que yo... Y si pues, nomas no"
alegria,RT @Alberto_05_93: @LeahMontan Jajajajaj Yo Solo Toy Cantando. :D
alegria,RT @gasparin2101: @leandrosegoviaa hahaha que belleza sacarte a patadas de un bar es lo de hoy haha preguntamelo a mi que hasta los mico ...
sorpresa,"Yo necesito contar las cosas, no se como haces para guardarte todo. Me tienes sorprendidaaa O.O"
ira,Solo sé que te quiero bien lejossssssss…
tristeza,"A base de base el enjuague de hoy, no hay miseria peor por pasar.  [-:"
alegria,ay ya no más exámenes !pffff!!#fatiguée
alegria,@victortuchi muchas gracias.  Noche espectacular !!!!!!! Saludos
alegria,Miliband centrará su discurso ante el congreso laborista en la educación - http://t.co/9KSSoGM6
miedo,@juanaxbanana es muy largo o sale sparknotes otra vez?
alegria,@gerardoRovi el ipad la calcomania jajajaajajajajaj vamos vamosssss!! Q gusto saludarte Geral!
disgusto,"Messi solo ha corrido 2 Km más que Pinto, que basuraaaaa"
confianza," @nvsgarcia: No os equivoqueis, el Barça ha perdido, pero estoy seguro que volvera a ganar!!!!"
anticipacion,Sergio Ramos va a tener más cuidado cuando coja la copa.
confianza,Ramos alistando el pegamento para las manos.
tristeza,"Pobre bartra, pero tenemos un central d mucho futuro y nos dará más en un futuro,  hay que esperar. :-<"
anticipacion,K no le den la copa ahora a sergio ramos!!k si no...@xorloto @Jesuspladur
confianza,"He de decir que no pensaba que iba a ganar el Madrid, pero hay que decir que han jugado muy muy bien y le han plantado cara al Barcelona."
disgusto,"Estoy esperando a la polía, para poder irme de aqui, no resisto más."
anticipacion,Me voy temprano para que no me coja la lluvia!!! .);
ira,Soy el rey y le tiro la medalla a la cara al mono de alves
tristeza,"Partidaso del real madrid , pero queria que gane el barca !!"
sorpresa,Hoy si Bale te ganaste mi corazón! #Campeones @di Maria #primer titulo #HALA MADRID
disgusto,"Martino se puede ir despidiendo, que resista lo que le espera."
disgusto,"No queremoss  a guardiola en el equipo, ni de coña."
sorpresa,@Donoso_98 es que lo de Bale me ha excitado
confianza,"RT @DeboRecordarQue: RT @TweetDeUnaChica: Relájate todo va a estar bien, tal vez no hoy, pero algún día.  ;^)"
miedo,"Tengo examen de historia, juuuu no quiero hacerlo!    :S  )-;"
tristeza,Buenos dias. Arrancamos el miercoles. Hoy dia aburrido seguro. :[
miedo,con un sueño alucianante a las 8 d la mañana que me pasara en el dia?? Esto me da muchoooo miedo :(   :S  )-;
tristeza,No me tome la merengada hoy :(
anticipacion,El mejor regalo de cumpleaños será el triunfo de mi flaco @hcapriles ver para creerrr!!
anticipacion,"Mini-orquesta en media hora, no te lo pierdasssss sera lo mejorrr!!!!"
miedo,Me levanto y lo primero que veo es este #Smile! No quiero ni salir de la casa :(  :S  )-;
tristeza,Se fueeee para siempreeeeee :[ 
disgusto,CONSTANZA CAMACARO ES FEAAAAAAA y muy abusadoraa.  \;
ira,RT @soyRafah: #EstoyHartoDe Ti.  [-;
miedo,oeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee estoy muerta de miedoooo   :S  )-;
confianza,"RT @Aguales: Nos han condenado al fracaso. A toda una generación. Pero no pasa nada, a cambio tenemos internet en el móvil.  ;^)"
tristeza,"Mientras tu tratas de olvidarlo, el sigue muy triste :["
anticipacion,"RT @Aranngutan: Man, nadie me va a quitar la emoción cuando Capriles gane las elecciones, nadie. Siempre estare con el!! "
ira,RT @saragabrielahg: neta eres un completo IDIOTA #teodio  [-;
ira,8 de la mañana camino pal pueblo manda huevos.... Estoy hartaaaaa  [-;
disgusto,RT @WhatsAppSoy: #SabesQueTeEnamorasteCuando sonríes estúpidamente al escuchar el nombre de esa persona.  \;
ira,Después de hacer daño no sirven las disculpas.  [-;
disgusto,"#FracasasteComoPersona si ofendes a CHICHARITO, trata de cambiar /:"
anticipacion,"RT @joserra_espn: Este sábado a las 9:30 en el Zócalo será la inauguración de la Homeless World Cup, una causa buena y loable. ¡Apoyemos …  .(;"
ira,RT @alexandercontr9: Pintas de mucho y no eres nada a la hora de la verdad ;)  [-;
alegria,Pues que tendré una sesión de pareja....
alegria,Como lo quiero… te amo muchoooo
sorpresa,Hoy me compre una caja con muchos caramelos y quede sorprendidoo o.o
alegria,RT @BernardBarrera: #CaprilesEnChataingTV y Chavez en la hojilla Jajajajaajajajajaajjaajajajajajajajajajajaajajajajajjajajajajjajajjajja ...
disgusto,Ustedes saben el asco que siento yo al verla a ella.
disgusto,No tengo sueno y nada que hacerrrrr
sorpresa,"He subido un vídeo de @YouTube (http://t.co/xBCcsywK - Skala Tres-""Sin Medida""(Video Oficial)).  o.o"
alegria,Sencillamente yo no seré tu amiga...
alegria,Cumpleañero  http://t.co/aMNY3sTi
alegria,Yo quiero una lady que cuando yo quiere este pa mi...siempre ahi
sorpresa,RT @la_patilla: La historia detrás de la mejor foto del llenazo de la Av.Bolívar http://t.co/DztVZ2j8  o.o
ira,RT @Tochonn: Capriles el 7-O me echaré una pea en tu nombre pase lo que pase.  :d 
sorpresa,"@EvaAz_ @rubii35 pero si vez, ellas empezaron xD mocosas para que hablan."
alegria,RT @el123pormi: Cuando tu te vas a dormir yo me voy a soñar contigo.
ira,Pedazo de mierda que has salidoooooo [-; me tienes hartaaaa
disgusto,"Si no habla PESTES de ti, fracaso como Ex-Amiga. "
sorpresa,Tengo las manos como cuubitos de hielo...frias pero friaaaas! Chiqillo..
alegria,No hay distancias grandes para nuestro amor!
alegria,Hola! =) mieeeeercoles. Avanzando!
sorpresa,Que le regalo a mi hijaa??? o.o
sorpresa,@VVperiodistas y los reales quien se los dio guevones de los impuestos el mismo guevo disfrazado de chorizo
alegria,@BeeleenClavero ohhh mi niñaaa muchisimas gracias amooorsitooo L
sorpresa,Para mañana le tengo una sorpresa a mi hijoooo o.o
sorpresa,"RT @ContigoRCTV: #ChavezTeQuedan4Dias Faltan 4 Dias, 48 Horas, 2880 minutos, 5760 segundos #ChávezTeVas  o.o"
alegria,"RT @Stalkead0: JAJAJAJAJAJAJAJAJAJAJAJAJAJA, ESE ANGEL SI SABE."
alegria,@gabriel_Mzuma Gracias por seguirme y vigilemos ¬¬
miedo,Todo se va a la chingada en pocas palabras la vida es prestada un dia mi alma sera reclamada llegara mi final y nadie podra hacer nada!!!  :s
alegria,NECESITO VERLOOOO! RAIT NAU!!!
disgusto,Ahora no paro de estornudar &lt;.&lt; ! 11 veces &gt;.&lt;  ya estoy harto
tristeza,RT @rmz_dani: #TeCreesDeMejorFamilia Y sales a rumbear Con Los tennis de educacion Fisica! Jaja  ;(
ira,RT @Chavodeeska_9: Cuando un amigo no va a clase: 5% Espero que esté bien. 95% QUE HIJO DE PUTA. ¿CÓMO SE ATREVE A DEJARME SOLO?  [-;
alegria,Con capriles randoski vamos a progresar.
alegria,Me voy a poner a jugarrr. :-)
ira, @marablas nena bañate x mi jaja haber si se me pasa q todavia tengo el corazón a mil… que cosa más fea la que vi.
alegria,"ramos misino va, acércate a la copa, misino misino misinoooo."
sorpresa,Mañana me van a regalar algooo???? Que sorpresaaaa O.O O.O
sorpresa,"Resumen de la final de Copa, igual que en la primera parte.  #CopaRelRey http://t.co/OzmfjAE4M4"
alegria,Hem d recuperar les ganes de guanyar amb un entrenador exigent i jugadors renovats ja! Tot i aixi Barça fins la mort!
disgusto,Que bebé mas malcriadooo me tocoo que pena.
